,WORD,COUNT
6647,nevada,63
6670,river,62
1432,ms,62
2090,director,62
722,prisoners,62
718,providing,62
1186,lost,62
4658,magistrate,62
3124,truck,62
2200,advertising,62
949,antitrust,62
2423,questioning,62
1308,terminated,62
3091,single,61
2489,redistricting,61
6857,juror,61
3706,beyond,61
3113,driver,61
4264,congressional,61
3336,approximately,61
2206,martinez,61
2895,jersey,61
328,maximum,61
4032,registration,61
499,next,61
1239,run,61
5713,raised,61
926,series,61
1888,connection,61
1249,granting,61
1641,enjoin,60
238,address,60
514,station,60
1183,reimbursement,60
3778,oklahoma,60
2204,groups,60
1717,plant,60
349,distribute,60
5068,applies,60
376,language,60
1984,acted,60
1839,permission,60
115,campaign,60
379,breach,60
1596,qualify,59
5230,total,59
1853,candidates,59
4226,might,59
2177,bond,59
879,relied,59
39,actually,59
3039,find,59
1690,exempt,59
3440,firm,59
484,like,59
2013,americans,59
2761,definition,59
831,center,59
2615,directed,58
4779,doe,58
2678,searched,58
1782,proper,58
3488,agreements,58
55,orders,58
340,woman,58
1681,nation,58
876,division,58
2546,excluded,58
2973,defined,58
4251,pension,58
1526,earlier,57
1468,human,57
2410,condition,57
1488,violates,57
1131,believed,57
2527,equitable,57
2292,privacy,57
5456,tort,57
3046,firearms,57
616,every,57
3340,materials,57
2182,certified,57
5565,preempted,57
4256,comply,57
2324,regulate,57
1999,owed,57
2060,otherwise,57
4619,serious,57
4622,decide,57
2254,list,57
2017,bia,56
4353,traffic,56
220,g,56
502,thomas,56
2764,arguments,56
652,offer,56
2971,harm,56
1250,permits,56
3126,accident,56
8372,adea,56
1546,probation,56
168,knowledge,56
982,executive,56
436,refusal,56
1885,northern,56
1421,able,56
356,registered,56
1883,resulted,56
1105,entry,55
3434,sentences,55
5014,likely,55
4954,reasoning,55
3902,alaska,55
3914,followed,55
324,misdemeanor,55
1182,unable,55
3573,detention,55
2845,trademark,55
2289,television,55
219,richard,55
578,reason,55
2352,double,55
1654,expenses,55
2372,knowingly,55
2791,transferred,54
1591,low,54
415,rape,54
312,serve,54
2369,initially,54
488,chicago,54
630,pled,54
1122,shortly,54
2046,representation,54
2242,exclusive,54
9,together,54
1817,policies,54
3776,method,54
3899,paying,54
732,multiple,54
703,neither,54
763,senate,54
4342,certification,54
3794,substance,54
3471,located,54
775,early,54
3483,restrictions,54
3686,minority,54
3988,fire,53
2825,improperly,53
333,represented,53
3994,determining,53
2291,daughter,53
4184,convention,53
1386,representatives,53
235,scope,53
2151,attempt,53
5153,lawful,53
8363,usc,53
2239,recognized,53
1359,operating,53
1849,communist,53
1811,privilege,53
6318,fda,53
3318,facilities,53
3310,risk,53
253,country,53
218,recommended,53
234,exceeded,53
98,son,53
2047,eight,53
5344,factor,52
4500,increase,52
1581,programs,52
3361,housing,52
1413,fbi,52
2025,corporations,52
4790,energy,52
2652,past,52
819,prisoner,52
1637,declared,52
2238,carriers,52
2275,higher,52
6473,excessive,52
1238,lines,52
3045,tobacco,52
995,possible,52
2743,powers,52
2836,manufacturers,52
125,obscene,52
3881,arrived,51
2599,mrs,51
2023,mexico,51
2067,examination,51
1199,significant,51
5493,deportation,51
4840,waters,51
4325,portion,51
3460,create,51
3542,body,51
2390,selling,51
907,st,51
2865,proceeds,51
788,narcotics,51
2729,cover,51
3089,limits,51
4380,town,51
785,connecticut,51
1640,erred,51
642,accepted,51
1598,establishment,50
560,david,50
247,injunctive,50
3044,equipment,50
562,hired,50
2012,native,50
5472,reform,50
1719,change,50
1753,whose,50
2126,accused,50
2611,resulting,50
346,population,50
2051,immediately,50
4820,fraudulent,50
3767,giving,50
688,represent,50
5329,spent,50
2598,alcohol,50
5928,clean,50
6590,particular,50
6282,diversity,50
2641,sec,50
1303,teachers,50
310,contempt,50
2379,jeopardy,50
527,weeks,50
3363,unit,49
513,street,49
2031,sherman,49
1851,indiana,49
1607,career,49
3237,capacity,49
1882,disabilities,49
4148,device,49
3092,enforce,49
1580,aid,49
3341,executed,49
2190,minor,49
4651,ability,49
