,WORD,COUNT,DELETE
995,possible,52,0
2743,powers,52,0
2836,manufacturers,52,0
125,obscene,52,0
3881,arrived,51,0
2599,mrs,51,0
2023,mexico,51,0
2067,examination,51,0
1199,significant,51,0
5493,deportation,51,0
4840,waters,51,0
4325,portion,51,0
3460,create,51,0
3542,body,51,0
2390,selling,51,0
907,st,51,0
2865,proceeds,51,0
788,narcotics,51,0
2729,cover,51,0
3089,limits,51,0
4380,town,51,0
785,connecticut,51,0
1640,erred,51,0
642,accepted,51,0
1598,establishment,50,0
560,david,50,0
247,injunctive,50,0
3044,equipment,50,0
562,hired,50,0
2012,native,50,0
5472,reform,50,0
1719,change,50,0
1753,whose,50,0
2126,accused,50,0
2611,resulting,50,0
346,population,50,0
2051,immediately,50,0
4820,fraudulent,50,0
3767,giving,50,0
688,represent,50,0
5329,spent,50,0
2598,alcohol,50,0
5928,clean,50,0
6590,particular,50,0
6282,diversity,50,0
2641,sec,50,0
1303,teachers,50,0
310,contempt,50,0
2379,jeopardy,50,0
527,weeks,50,0
3363,unit,49,0
513,street,49,0
2031,sherman,49,0
1851,indiana,49,0
1607,career,49,0
3237,capacity,49,0
1882,disabilities,49,0
4148,device,49,0
3092,enforce,49,0
1580,aid,49,0
3341,executed,49,0
2190,minor,49,0
4651,ability,49,0
1535,manufacturing,49,0
921,unusual,49,0
487,reported,49,0
3104,struck,49,0
4918,phase,49,0
1922,forced,49,0
3528,saw,48,0
123,prohibiting,48,0
2563,sign,48,0
4492,island,48,0
5233,atlantic,48,0
10129,aedpa,48,0
1301,college,48,0
823,aside,48,0
1433,incident,48,0
4614,detained,48,0
1407,charles,48,0
1064,h,48,0
2748,longer,48,0
3963,remove,48,0
344,birth,48,0
588,procedural,48,0
2624,contributions,48,0
2363,prejudice,48,0
6790,means,48,0
1473,designated,48,0
795,door,48,0
1349,knew,48,0
198,enter,48,0
2008,course,48,0
4195,needed,47,0
2679,read,47,0
2406,damage,47,0
2322,abortions,47,0
2917,veterans,47,0
1531,conclusion,47,0
2378,put,47,0
1982,avoid,47,0
1409,jr,47,0
2885,clear,47,0
1380,turned,47,0
5352,elections,47,0
1856,affidavit,47,0
2740,compensatory,47,0
2809,level,47,0
1043,cruel,47,0
1108,adverse,47,0
2158,welfare,47,0
3358,challenges,47,0
124,distribution,47,0
2039,agencies,47,0
1884,disabled,47,0
1061,prosecutors,46,0
2946,iii,46,0
1345,voluntary,46,0
498,things,46,0
4730,proceed,46,0
1657,food,46,0
600,marketing,46,0
2765,quality,46,0
5953,cable,46,0
1603,employed,46,0
1602,alien,46,0
3289,discovery,46,0
1314,termination,46,0
2531,nine,46,0
3502,performed,46,0
2241,authorities,46,0
5475,coal,46,0
5526,retaliation,46,0
5138,ban,46,0
433,membership,46,0
3366,moore,46,0
2002,hold,45,0
5438,raise,45,0
1541,operation,45,0
3852,accordance,45,0
2643,transactions,45,0
3288,compel,45,0
515,learned,45,0
3584,phone,45,0
1642,around,45,0
2486,small,45,0
1994,w,45,0
3880,shooting,45,0
5394,expert,45,0
874,eastern,45,0
295,answer,45,0
799,reached,45,0
5813,retroactively,45,0
902,applicable,45,0
897,unfair,45,0
4341,citizenship,45,0
5227,puerto,45,0
896,applying,45,0
1059,cited,45,0
3765,noting,45,0
1938,principal,45,0
7320,thompson,44,0
810,heroin,44,0
305,strike,44,0
2348,history,44,0
5338,aggravating,44,0
3636,get,44,0
6439,trustee,44,0
7007,domestic,44,0
2329,murphy,44,0
1790,applications,44,0
1316,western,44,0
399,fell,44,0
